titolo,ente,regione,fonte_url,scadenza,settore,tipologia,importo_min,importo_max,importo_flag,estrazione,Importo_massimo,Stanziamento_incentivo,Spesa_Ammessa_min,Agevolazione_Concedibile_min,Spesa_Ammessa_max,Agevolazione_Concedibile_max,Importo_minimo
Patent box,Ministero dello sviluppo economicoMinistero dellâeconomia e delle finanze,"Abruzzo,Calabria,Campania,Basilicata,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/impresa/patent-box,,vario,altro,,,none,2025-07-05T11:34:49,,,,,,,
Poli Europei di innovazione digitale,"Ministero dello sviluppo economico\, Ministero dellâuniversitÃ  e della ricerca\, Ministero per lâinnovazione tecnologica e la digitalizzazione","Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/impresa/poli-digitali,2020-09-23,digitale,altro,97000000,97000000,auto,2025-07-05T11:34:49,,97000000,,,,,
Fondo di Garanzia per le Piccole e Medie Imprese,Banca del Mezzogiorno MedioCredito Centrale S.p.A.,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mimit.gov.it/index.php/it/incentivi/fondo-di-garanzia-per-le-pmi,2026-12-31,vario,garanzia,175000000,175000000,auto,2025-07-05T11:34:49,,175000000,,,,,
Voucher connettivitÃ  - Famiglie,Ministero dello Sviluppo Economico,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Trentino-Alto Adige/SÃ¼dtirol,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/comunicazioni/banda-ultralarga/voucher-connettivita,2021-11-29,vario,altro,204000000,204000000,auto,2025-07-05T11:34:49,,204000000,,,,,
"Contributi per wedding\, intrattenimento\, cerimonie e HoReCa",Agenzia delle Entrate,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Sardegna,Trentino-Alto Adige/SÃ¼dtirol,Valle d'Aosta/VallÃ©e d'Aoste,Veneto,Toscana,Puglia,Umbria",https://www.mise.gov.it/index.php/it/incentivi/impresa/wedding-intrattenimento-e-horeca,2022-12-05,vario,altro,40000000,40000000,auto,2025-07-05T11:34:49,,40000000,,,,,
KDT JU Calls 2021,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mimit.gov.it/index.php/it/incentivi/elettronica,2022-05-16,vario,altro,10000000,10000000,auto,2025-07-05T11:34:49,,10000000,,,,,
MobilitÃ  sostenibile - Sostegno alla filiera degli autobus elettrici - PNRR,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mimit.gov.it/index.php/it/incentivi/mobilita-sostenibile-filiera-degli-autobus-elettrici,,green,altro,80000000,80000000,auto,2025-07-05T11:34:49,,80000000,,,,,
Legge 181/1989 - Riqualificazione dellâarea di crisi industriale di Torino,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,Piemonte,https://www.mise.gov.it/index.php/it/incentivi/torino-area-di-crisi-industriale,2022-09-20,vario,altro,50000000,50000000,auto,2025-07-05T11:34:49,,50000000,,,,,
Brevetti+ 2022,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.invitalia.it/cosa-facciamo/rafforziamo-le-imprese/brevetti,2022-09-27,vario,altro,30000000,30000000,auto,2025-07-05T11:34:49,,30000000,,,,,
Disegni+ 2022,UNIONCAMERE,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.disegnipiu2022.it,2022-10-11,vario,altro,14000000,14000000,auto,2025-07-05T11:34:49,,14000000,,,,,
Marchi+ 2022,UNIONCAMERE,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.marchipiu2022.it/home/,2022-11-08,vario,altro,2000000,2000000,auto,2025-07-05T11:34:49,,2000000,,,,,
Buono fiere,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/buono-fiere,2023-09-09,vario,altro,34000000,34000000,auto,2025-07-05T11:34:49,,34000000,,,,,
Fondo a sostegno dellâindustria conciaria,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,"Campania,Lombardia,Marche,Toscana,Veneto",https://www.mimit.gov.it/index.php/it/incentivi/industria-e-filiera-conciaria,2022-11-16,vario,altro,10000000,10000000,auto,2025-07-05T11:34:49,,10000000,,,,,
Bando UTT 2022,MISE (DGTPI-UIBM),"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/notizie-stampa/pnrr-7-5-milioni-per-gli-uffici-di-trasferimento-tecnologico,2022-10-16,vario,altro,7500000,7500000,auto,2025-07-05T11:34:49,,7500000,,,,,
"Progetti di Proof of Concept (PoC) degli uffici di trasferimento tecnologico delle universitÃ \, degli enti pubblici e degli IRCCS",Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://uibm.mise.gov.it/index.php/it/incentivi/bando-per-la-realizzazione-di-programmi-di-valorizzazione-dei-brevetti-tramite-il-finanziamento-di-progetti-di-poc,2022-10-31,vario,altro,8500000,8500000,auto,2025-07-05T11:34:49,,8500000,,,,,
Contributo a sostegno dell'industria tessile biellese,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,Piemonte,https://www.mimit.gov.it/index.php/it/incentivi/contributo-a-sostegno-dellindustria-tessile-biellese,2023-12-31,vario,altro,10000000,10000000,auto,2025-07-05T11:34:49,,10000000,,,,,
Contributo a sostegno dellâindustria tessile pratese,Ministero dello sviluppo economico,Toscana,https://www.mise.gov.it/index.php/it/incentivi/industria-e-filiera-produttiva-del-distretto-industriale-pratese,2023-11-30,vario,altro,10000000,10000000,auto,2025-07-05T11:34:49,,10000000,,,,,
KDT JU Calls 2022,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/it/normativa/decreti-direttoriali/decreto-direttoriale-30-settembre-2022-elettronica-innovativa-kdt-ju-2022-termini-e-modalita-presentazione-domande,2022-05-16,vario,altro,20000000,20000000,auto,2025-07-05T11:34:49,,20000000,,,,,
Accordi per lâinnovazione nella filiera del settore automotive,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/it/normativa/decreti-direttoriali/decreto-direttoriale-10-ottobre-2022-accordi-per-linnovazione-nella-filiera-del-settore-automotive-presentazione-domande,2023-11-02,vario,altro,225000000,225000000,auto,2025-07-05T11:34:49,,225000000,,,,,
Contratti di sviluppo - Settore automotive,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mimit.gov.it/it/normativa/decreti-direttoriali/decreto-direttoriale-14-novembre-2022-contratti-di-sviluppo-settore-automotive-rinvio-presentazione-domande,,vario,altro,323600000,323600000,auto,2025-07-05T11:34:49,,323600000,,,,,
Legge 181/1989 - Riqualificazione dellâarea di crisi del territorio Salentino-Leccese,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,Puglia,https://www.mise.gov.it/it/incentivi/aiuti-per-larea-di-crisi-industriale-territorio-salentino-leccese,,vario,altro,18600000,18600000,auto,2025-07-05T11:34:49,,18600000,,,,,
Legge 181/1989 - Riqualificazione dellâarea di crisi del Comune di Brindisi,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,Puglia,https://www.mise.gov.it/it/incentivi/brindisi-aree-di-crisi-industriale-intervento-2022#comune-brindisi,,vario,altro,4535485,4535485,auto,2025-07-05T11:34:49,,4535485,,,,,
Legge 181/1989 - Riqualificazione dellâarea di crisi dei Comuni della Provincia di Brindisi,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,Puglia,https://www.mise.gov.it/it/incentivi/brindisi-aree-di-crisi-industriale-intervento-2022#provincia-brindisi,,vario,altro,12800729,12800729,auto,2025-07-05T11:34:49,,12800729,,,,,
Programma di supporto alle Case delle tecnologie emergenti,Ministero dello sviluppo economico,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Sardegna,Trentino-Alto Adige/SÃ¼dtirol,Valle d'Aosta/VallÃ©e d'Aoste,Veneto,Toscana,Puglia,Umbria",https://www.mise.gov.it/it/incentivi/casa-delle-tecnologie-emergenti-nuovo-bando,2022-11-25,vario,altro,80000000,80000000,auto,2025-07-05T11:34:49,,80000000,,,,,
Fondo per il sostegno alle imprese danneggiate dalla crisi ucraina,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mimit.gov.it/it/incentivi/fondo-per-il-sostegno-alle-imprese-danneggiate-dalla-crisi-ucraina/,2022-11-30,vario,altro,120000000,120000000,auto,2025-07-05T11:34:49,,120000000,,,,,
Accordi per l'innovazione - Secondo sportello,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Basilicata,Calabria,Campania,Molise,Puglia,Sardegna,Sicilia",https://www.mise.gov.it/it/incentivi/accordi-per-linnovazione-secondo-sportello,2023-10-06,vario,altro,675000000,675000000,auto,2025-07-05T11:34:49,,675000000,,,,,
Marchi collettivi e di certificazione 2022,MiSE - Direzione generale per la tutela della proprietÃ  industriale - Ufficio italiano brevetti e marchi,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Trentino-Alto Adige/SÃ¼dtirol,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.marchicollettivi2022.it/,2022-12-22,vario,altro,2484019,2484019,auto,2025-07-05T11:34:49,,2484019,,,,,
Credito dâimposta per cuochi professionisti,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mimit.gov.it/it/incentivi/credito-dimposta-per-cuochi-professionisti,2023-04-03,vario,altro,3000000,3000000,auto,2025-07-05T11:34:49,,3000000,,,,,
Bonus Export Digitale,ICE-Agenzia per la promozione all'estero e l'internazionalizzazione delle imprese italiane,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.ice.it/it/bonus-export-digitale,,digitale,altro,30000000,30000000,auto,2025-07-05T11:34:49,,30000000,,,,,
Fondo per la ricerca e lo sviluppo industriale e biomedico,Fondazione Enea Tech e Biomedical,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/it/incentivi/fondo-per-la-ricerca-e-lo-sviluppo-industriale-e-biomedico,,vario,altro,935000000,935000000,auto,2025-07-05T11:34:49,,935000000,,,,,
Legge 181/1989 - Riqualificazione dellâarea di crisi di Marcianise,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,Campania,https://www.mise.gov.it/it/incentivi/marcianise-area-di-crisi-industriale,2023-06-01,vario,altro,,,none,2025-07-05T11:34:49,,"15375383\,50",,,,,
Agevolazioni fiscali finalizzate all'assunzione di dipendenti detenuti o internati,Ministero della Giustizia Dipartimento Amministrazione penitenziaria,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Sardegna,Trentino-Alto Adige/SÃ¼dtirol,Valle d'Aosta/VallÃ©e d'Aoste,Veneto,Toscana,Puglia,Umbria,Sicilia",https://www.giustizia.it/giustizia/it/mg_3_4_25.page?tab=d,,vario,altro,21148112,21148112,auto,2025-07-05T11:34:49,,21148112,,,,,
Bando per la concessione di contributi diretti all'adozione delle attestazioni SOA Anno 2023 - III Edizione,"Camera di Commercio\, Industria\, Artigianato e Agricoltura di Cosenza",Calabria,https://www.cs.camcom.gov.it/it/content/service/bando-attestazioni-soa-iii-edizione,2023-10-31,vario,altro,150000,150000,auto,2025-07-05T11:34:49,,150000,,,,,
Contributi a sostegno della promozione e diffusione della cultura cinematografica e audiovisiva in Campania 2023,Fondazione Film Commission Regione Campania,Campania,https://fcrc.it/wp-content/uploads/PIANO_CINEMA_2023_AVVISI.pdf,2023-12-31,vario,altro,1300000,1300000,auto,2025-07-05T11:34:49,,1300000,,,,,
Contributi a sostegno della produzione di opere audiovisive in Campania 2023,Fondazione Film Commission Regione Campania,Campania,https://fcrc.it/wp-content/uploads/PIANO_CINEMA_2023_AVVISI.pdf,2023-07-13,vario,altro,2660000,2660000,auto,2025-07-05T11:34:49,,2660000,,,,,
FVG - Sovvenzioni per progetti di rigenerazione e riattivazione di luoghi e spazi culturali pubblici e privati,"regione autonoma Friuli Venezia Giulia - Direzione centrale cultura\, sport e solidarietÃ",Friuli-Venezia Giulia,https://www.regione.fvg.it/rafvg/cms/RAFVG/cultura-sport/attivita-culturali/FOGLIA315/articolo.html,2024-02-22,vario,altro,5850000,5850000,auto,2025-07-05T11:34:49,,5850000,,,,,
2022 - Avviso pubblico di interventi in favore delle attivitÃ  commerciali e artigianali di Cineto Romano,Comune di Cineto Romano,Lazio,https://www.cineto.it/zf/index.php/trasparenza/index/index/categoria/63,2023-01-31,vario,altro,13043,13043,auto,2025-07-05T11:34:49,,13043,,,,,
"2022 - Contributi alle piccole e micro imprese comuni aree interne a valere sul fondo nazionale di sostegno alle attivitÃ  economiche\, artigianali e commerciali - Comune di Rovegno",COMUNE DI ROVEGNO,Liguria,https://www.halleyweb.com/c010052/zf/index.php/bandi-di-concorso/index/dettaglio/bando/28,2023-11-15,vario,altro,12282,12282,auto,2025-07-05T11:34:49,,12282,,,,,
Bando per il Premio per lo sviluppo di progetti in coproduzione tra lâItalia e gli Stati Baltici â Sesta edizione,Ministero della Cultura,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://cinema.cultura.gov.it/avvisi/pubblicato-il-premio-per-lo-sviluppo-di-progetti-in-coproduzione-tra-litalia-e-gli-stati-baltici-sesta-edizione/,2024-01-15,vario,altro,20000,20000,auto,2025-07-05T11:34:49,,20000,,,,,
"Progetti di ricerca\, sviluppo e innovazione per transizione ecologica e circolare - Green New Deal",Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mimit.gov.it/it/incentivi/green-new-deal,,green,altro,750000000,750000000,auto,2025-07-05T11:34:49,,750000000,,,,,
